timestamp,entityType,errorCode,errorMsg,initialComponent,initialSystem,logger,loggingComponent,loggingSystem,payloadType,sessionId,transactionId,txnState
2016-04-19T04:46:52.051Z,,,,/members/me,API-GATEWAY,api.members.get.members.memberid.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,dd37f31e-4ed5-4b60-8989-7ee17a69271b,started
2016-04-19T04:46:52.052Z,,,,,,api.members.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,dd37f31e-4ed5-4b60-8989-7ee17a69271b,uServiceStarted
2016-04-19T04:46:52.066Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,dd37f31e-4ed5-4b60-8989-7ee17a69271b,API_Request_Received
2016-04-19T04:46:52.069Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,dd37f31e-4ed5-4b60-8989-7ee17a69271b,ESB_Request_Sent
2016-04-19T04:46:52.862Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,dd37f31e-4ed5-4b60-8989-7ee17a69271b,ESB_Response_Received
2016-04-19T04:46:52.865Z,members,,,,,EVENT_DEBUG_LOGGER,members-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,dd37f31e-4ed5-4b60-8989-7ee17a69271b,API_Response_Sent
2016-04-19T04:46:52.868Z,,,,,,api.members.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,dd37f31e-4ed5-4b60-8989-7ee17a69271b,uServiceCompleted
2016-04-19T04:46:52.869Z,,,,/members/me,API-GATEWAY,api.members.get.members.memberid.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,dd37f31e-4ed5-4b60-8989-7ee17a69271b,completed
2016-04-19T04:46:53.031Z,,,,/policies,API-GATEWAY,api.policies.get.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,started
2016-04-19T04:46:53.032Z,,,,,,api.policies.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,uServiceStarted
2016-04-19T04:46:53.047Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,API_Request_Received
2016-04-19T04:46:53.051Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,ESB_Request_Sent
2016-04-19T04:46:54.010Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,ESB_Response_Received
2016-04-19T04:46:54.013Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,ESB_Request_Sent
2016-04-19T04:46:55.017Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,ESB_Response_Received
2016-04-19T04:46:55.019Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,API_Response_Sent
2016-04-19T04:46:55.021Z,,,,,,api.policies.microservice.response,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,uServiceCompleted
2016-04-19T04:46:55.022Z,,,,/policies,API-GATEWAY,api.policies.get.exit,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,3a352966-ffea-4f52-b65e-2aee327c6bc8,completed
2016-04-19T04:46:56.024Z,,,,,,api.policies.microservice.request,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,e48d9bac-7a1b-4f82-a8cd-cdeb681b6ac3,uServiceStarted
2016-04-19T04:46:56.024Z,,,,/policies/31037069H/excess,API-GATEWAY,api.policies.get.policyNumber.excess.entry,,,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,e48d9bac-7a1b-4f82-a8cd-cdeb681b6ac3,started
2016-04-19T04:46:56.043Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,JSON,54726db4-5b44-4d63-b371-d72fee7fe53e,e48d9bac-7a1b-4f82-a8cd-cdeb681b6ac3,API_Request_Received
2016-04-19T04:46:56.047Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,e48d9bac-7a1b-4f82-a8cd-cdeb681b6ac3,ESB_Request_Sent
2016-04-19T04:46:57.158Z,policies,,,,,EVENT_DEBUG_LOGGER,policies-microservice,OMS,XML,54726db4-5b44-4d63-b371-d72fee7fe53e,e48d9bac-7a1b-4f82-a8cd-cdeb681b6ac3,ESB_Response_Received
